Source,Data Base,Data Base,,,,,,,Data Base,,,,,,,,,,,,,,,,,,,,,,,,
Sddp Code,All the Future And Retring Plants till 2030,CoD for Future Plants and Retiring date for Retiring Plants,,,J col,,,,"i. 0 For Retring Plants
ii. Derated Capacity for Future Plants",,,,,,,,,,,,,,,,,,,,,,,,
NUM,Nombre,Data,#Uni,QMin,QMax,Min.V+T,FPMed,VMax,Pot,ICP,IH,IEA,AfxTur,Afl1,Afl2,Afl3,Afl4,Afl5,TurIn1,TurIn2,TurIn3,TurIn4,TurIn5,Outflow1,Outflow2,Outflow3,Outflow4,Outflow5,Elevation1,Elevation2,Elevation3,Elevation4,Elevation5
3,Mangla,1/7/2019,1,0,1000,0,1,500,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Mira_Gulpur,1/3/2020,1,0,111,0,1,500,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Karot_Power,1/1/2022,1,0,720,0,1,500,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,S.K Hydro,1/1/2023,1,0,870,0,1,500,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Kohala,1/1/2027,1,0,1124,0,1,500,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Golen Gol,1/7/2019,1,0,106,0,1,500,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Tarbela-IV,1/1/2019,1,0,1410,0,1,500,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Keyal Khwar,1/1/2024,1,0,122,0,1,500,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,DASU-I,1/1/2027,1,0,2160,0,1,500,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,NJehlum,1/1/2019,1,0,969,0,1,500,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Spat Gah,1/1/2030,1,0,496,0,1,500,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Pallas,1/1/2030,1,0,665,0,1,500,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Mahl_HPP,1/4/2030,1,0,590,0,1,500,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,AP_HPP,1/6/2025,1,0,640,0,1,500,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Koto,1/1/2024,1,0,41,0,1,500,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Lawi,1/1/2024,1,0,69,0,1,500,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,JagranIII,1/1/2022,1,0,35,0,1,500,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Daral Khwar,1/6/2019,1,0,36.6,0,1,500,36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Matiltan,1/1/2024,1,0,84,0,1,500,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,LautHPP,1/1/2024,1,0,49,0,1,500,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Harigel,1/1/2022,1,0,40,0,1,500,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,GumatNar,1/1/2024,1,0,50,0,1,500,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Harpo,1/1/2024,1,0,34.5,0,1,500,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Phander,1/1/2024,1,0,80,0,1,500,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,MohamendDam,1/7/2027,1,0,800,0,1,500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,AshkotHpp,1/1/2026,1,0,300,0,1,500,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Taunsa,1/1/2024,1,0,135,0,1,500,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
